EP Site ID,Latitude,Longitude
PH-MAD-02060,13.397162,122.109502
PH-QUE-02008,13.688367,122.170617
PH-QUE-01295,14.716705,121.937139
PH-QUE-02071,13.325852,122.677646
,,
PH-MAS-02166,123.948339,12.098313
PH-ALB-03233,13.107694,123.746458
PH-SOR-03235,12.650513,124.10616
PH-CAT-01946,13.98669167,124.1384167
PH-MAS-02115,13.12844722,122.9789333
PH-QUE-01932,14.100932,122.01517
PH-MAD-02046,13.476098,121.859799
PH-MAD-02039,13.519855,121.867004
PH-MAD-02074,13.319217,122.0864
PH-ALB-02098,13.189936,124.128705
PH-MAS-02140,12.89861667,123.2333167
PH-MAS-02154,12.64207222,123.6663806
PH-MAS-02157,12.564835,123.737282
PH-MAS-02158,12.486321,123.751395
PH-MAS-02634,12.419657,123.778664
PH-MAS-02167,123.980177,12.062817
PH-MAD-02061,13.38529,121.826001
PH-QUE-01941,14.007195,122.18159
PH-MAS-02169,12.000958,123.989732
PH-MAS-02161,12.221381,123.288882
PH-MAS-02170,11.933959,123.766468
PH-MAS-02168,12.039048,123.191551
PH-MAS-02164,123.920589,12.142632
PH-MAS-02159,12.472907,123.495928
PH-CAT-01961,13.94972778,124.2825806
PH-CAT-01998,13.772674,124.381877
PH-CAT-02013,13.659922,124.371731
PH-CAT-02608,13.64041,124.30183
PH-QUE-01346,14.696207,121.721752
PH-QUE-01138,14.84224,121.971218
PH-MAD-02055,13.43878,121.817267
PH-QUE-03181,13.52483333,122.4030833
PH-QUE-01225,14.757643,121.617204
PH-QUE-03195,14.711781,121.621328
PH-QUE-02519,13.671545,122.222527
PH-MAS-02160,123.558833,12.30665
PH-MAS-02163,123.854207,12.184905
PH-MAS-02171,124.043608,11.881656
PH-MAS-02173,124.042033,11.739167
PH-MAS-02172,11.87101667,123.9194
PH-CAT-01975,13.905845,124.302699
PH-BTG-03163,14.08337,121.06626
PH-MAD-02050,13.461656,122.058203
PH-CAT-02226,13.88660556,124.1434361
PH-ZMB-00863,15.120864,120.061394
PH-ZMB-01002,14.949854,120.060957
PH-BUL-01038,14.91702,121.045823
PH-BUL-00949,15.000857,120.930616
PH-ILS-00063,17.825155,120.459237
PH-PAN-00539,15.90193333,120.7045333
PH-PAM-00929,15.02518333,120.57175
PH-PAM-01024,14.931358,120.498923
PH-ABR-03216,17.604202,120.743967
PH-ILS-00068,17.746305,120.452845
PH-ILS-00150,17.292443,120.441319
PH-CAG-00091,17.62369,121.7659
PH-BUL-01078,14.87688333,120.9787
PH-PAM-02481,15.161291,120.610752
PH-BUL-01070,14.8831,120.8687833
PH-NUV-00296,16.62036111,121.29675
PH-PAN-03194,15.8805,120.5974722
PH-ILN-00043,18.102591,120.700405
PH-PAM-00879,15.098072,120.682522
PH-ILS-00234,16.907884,120.51012
PH-PAN-02272,16.184923,119.929654
PH-ILS-00174,17.142852,120.617311
PH-PAN-00338,16.40272222,119.9280556
PH-NUE-00644,15.589638,121.118999
PH-PAM-00829,15.16151667,120.5826333
PH-BEN-00252,16.837358,120.701008
PH-CAG-00107,17.57108,121.774442
PH-LUN-00348,16.36591944,120.3548722
PH-KAL-00153,17.272338,121.270205
PH-LUN-00266,16.75167,120.339405
PH-LUN-00345,16.38463,120.393789
PH-LUN-02517,16.50553333,120.39345
PH-TAR-00742,15.371636,120.655837
PH-MOU-00184,17.09475,120.85381
PH-MOU-03217,17.092514,121.2859
PH-MOU-00168,17.162523,121.378392
PH-MOU-00204,17.00268333,120.9314667
PH-MOU-02462,17.173052,121.039614
PH-NUE-00678,15.52435,121.05567
PH-TAR-00724,15.453488,120.404548
PH-NUE-03202,15.500861,120.965384
PH-CAG-00002,121.866489,18.923263
PH-NUE-00794,15.224605,120.833536
PH-ILS-00251,16.839261,120.520562
PH-NUE-00630,15.616548,120.99682
PH-PAN-00557,15.8555745,120.6591618
PH-NUE-00684,15.511551,121.287292
PH-NUE-00723,15.455248,121.339277
PH-NUE-00781,15.274659,120.948652
PH-ALB-02559,13.289832,123.51795
PH-PAN-00552,15.878491,120.434463
PH-BUL-01032,14.925287,120.766014
PH-PAN-00364,16.311008,119.897979
PH-PAN-02185,15.914911,120.769146
PH-NUE-02671,15.660779,120.814411
PH-NUE-00650,15.582082,121.223161
PH-IFU-00290,16.66137,121.16605
PH-NUV-00367,121.0329167,16.30372222
PH-TAR-02482,15.484108,120.680317
PH-TAR-02711,15.591872,120.636732
PH-NCR-02553,14.64284,121.10027
PH-RIZ-02186,14.72826,121.15731
PH-NCR-01469,14.659057,120.945747
PH-NCR-01587,14.623405,121.030718
PH-QUE-01018,14.935259,121.826095
PH-QUE-01226,14.757414,122.216278
PH-QUE-01342,14.697059,122.329991
PH-PAM-02273,15.248112,120.567891
PH-ABR-02274,17.521728,120.51862
PH-NUV-00313,16.529924,121.026167
PH-TAR-00597,15.69849014,120.6067734
PH-NCR-01285,14.721019,121.103545
PH-RIZ-01394,14.6816,121.11752
PH-RIZ-01873,14.49776,121.28584
PH-NCR-01203,14.77005,121.05668
PH-NCR-01193,14.78035,121.03515
PH-NCR-02400,14.752888,121.053444
PH-CAG-00062,17.831959,121.411067
PH-BUL-00971,14.977313,120.882002
PH-PAN-00571,15.809328,120.477841
PH-PAN-00492,15.976534,120.536546
PH-PAN-00550,15.882878,120.628484
PH-NCR-01343,14.69697,121.025752
PH-PAN-00463,16.009657,120.287581
